Station Id,Station Name,Frequency,Average of Distance,Average of Trip Duration (s),Latitude,Longitude
7210,Mary McCormick Rec Centre (Sheridan Ave),1422,2.536567775,1123.888186,43.6475,-79.43305556
7205,Rusholme Park Cres / College St,1418,,1099.157969,43.65277778,-79.42972222
7220,Lakeshore Blvd W / Ellis Ave,1414,,2606.222065,43.635932,-79.465083
7122,Niagara St / Tecumseth St,1406,1.476229121,963.1507824,43.641389,-79.404444
7245,Tecumseth St / Queen St W - SMART,1390,,746.894964,43.646552,-79.406468
7258,Queen St E / Larchmount Ave,1389,,2329.551476,43.662279,-79.334166
7222,Sunnyside - Gus Ryder Pool,1379,,1863.138506,43.637894,-79.454823
7141,Bridgeman Ave / Kendal Ave,1374,2.386930971,1107.757642,43.675556,-79.410278
7255,Stewart St / Bathurst St  - SMART,1321,,870.1430734,43.643307,-79.402176
7116,Parliament St / Bloor St E,1304,2.195607709,916.9440184,43.671827,-79.371849
7142,Bridgeman Ave / Bathurst St,1281,2.603135324,1007.24356,43.674444,-79.414722
7284,York St / King St W - SMART,1268,,823.1971609,43.648,-79.3834
7263,Walton St / Elizabeth St - SMART,1263,,699.2707838,43.657838,-79.38631
7224,Bloor St W / High Park Ave (High Park),1237,,3117.998383,43.6535269,-79.4650569
7117,Castle Frank Station,1210,2.114120192,1082.706612,43.674083,-79.368579
7227,Martin Goodman Trail (Marilyn Bell Park),1188,,5528.464646,43.6314,-79.4304
7184,Ossington Ave / College St W,1166,2.06181663,883.5720412,43.6544915,-79.422634
7178,Dundas St W / Edna Ave,1107,3.24241062,2276.538392,43.657192,-79.452559
7147,King St W / Fraser Ave,1107,1.755482821,1910.428184,43.6394444,-79.42527778
7091,Donlands Station,1096,3.341660704,1765.032847,43.681126,-79.337779
7137,Davenport Rd / Bathurst St,1074,2.877002454,1192.89013,43.676667,-79.416111
7241,519 Church St - SMART,1067,,753.8940956,43.666805,-79.381288
7130,Davenport Rd / Bedford Rd,1045,1.96414776,972.4296651,43.6743985,-79.3986601
7285,Spadina Ave / Harbord St - SMART,1010,,759.3356436,43.6629228,-79.4018451
7205,Rusholme Park Cres / College St W,982,2.420662109,1041.719959,43.65277778,-79.42972222
7289,Humber Bay Shores Park East,974,,2579.435318,43.6308933,-79.4722622
7280,Charles St E / Jarvis St - SMART,972,,825.4845679,43.669604,-79.381171
7090,Danforth Ave / Lamb Ave,939,3.70536792,1811.57721,43.681991,-79.329455
7179,Bloor GO / UP Station (West Toronto Railpath),938,,1128.947761,43.6575,-79.45027778
7256,Vanauley St / Queen St W - SMART,902,,920.845898,43.648437,-79.39838
7088,Danforth Ave / Coxwell Ave,901,4.626083337,1850.266371,43.683378,-79.322961
7270,Church St / Dundas St E - SMART,896,,623.7287946,43.657024,-79.377257
7271,Yonge St / Alexander St - SMART,891,,624.6801347,43.662862,-79.383572
7267,Dundas St E / Pembroke St - SMART,867,,728.1026528,43.658295,-79.372346
7239,Bloor St W / Manning Ave - SMART,861,,1026.146341,43.663912,-79.416124
7272,Yonge St / Dundonald St - SMART,836,,572.9174641,43.665801,-79.384796
7254,Borden St / Bloor St W - SMART,813,,831.3825338,43.665461,-79.40848
7236,Thompson St / Broadview Ave - SMART,795,,1044.145912,43.659471,-79.350325
7180,Landsdowne Subway Green P,791,2.758201899,1143.476612,43.6587734,-79.443054
7179,Bloor GO / UP Station/ Rail Path,784,2.692758437,1047.677296,43.6575,-79.45027778
7228,Queen St W / Roncesvalles Ave,781,,2861.330346,43.638399,-79.4464436
7240,Bloor St W / Shaw Ave - SMART,771,,839.7652399,43.662403,-79.423098
7264,Bloor St E / Huntley St - SMART,763,,731.9541284,43.671535,-79.379173
7092,Pape Subway Green P,755,3.082935443,1306.088742,43.680223,-79.344062
7274,Queen's Park Cres E / Grosvenor St - SMART,749,,722.3591455,43.661803,-79.389682
7087,Danforth Ave / Aldridge Ave,735,3.615609552,1848.042177,43.684758,-79.316767
7094,Chester Station,717,3.165656064,1270.101813,43.6784556,-79.351014
7230,Garden Ave / Roncesvalles Ave,705,,1687.255319,43.643769,-79.447915
7110,Queen St E / Berkely St,650,1.628944481,804.0138462,43.6552778,-79.36583333
7083,Danforth Ave / Barrington Ave,621,4.26970857,3974.481481,43.688325,-79.300463
7221,High Park Subway Station,609,,2168.712644,43.6543604,-79.4655296
7279,Rosehill Ave / Avoca Ave - SMART,574,,1539.984321,43.687999,-79.38906
7286,Gerrard St E / Broadview - SMART,535,,1189.033645,43.665656,-79.352055
7181,Lansdowne Ave / Whytock Ave,530,2.442903205,1564.056604,43.65388889,-79.44138889
7183,Margueretta St / College St W,523,2.930043126,1084.592734,43.651238,-79.43868
7194,Mortimer Ave / Coxwell Ave,517,3.862804555,1754.659574,43.690564,-79.326319
7237,Ward Ave / Wallace Ave,485,,1148.820619,43.662251,-79.446036
7234,Roncesvalles Ave / Marmaduke St,482,,2139.248963,43.650492,-79.450842
7233,King / Cowan Ave - SMART,465,,1171.288172,43.637922,-79.431734
7268,111 Bond St (North of Dundas St E)  - SMART,459,,664.3420479,43.656927,-79.378497
7223,Parkside Dr / Bloor St W - SMART,382,,3245.895288,43.654501,-79.460053
7232,Queen St W  /  Fuller Ave - SMART,363,,1616.608815,43.640255,-79.439223
7085,Danforth Ave / Westlake Ave,337,3.635423665,1999.284866,43.687323,-79.304848
7262,Wychwood Ave / Benson Ave - SMART,325,,1172.449231,43.6809164,-79.4229684
7287,Queen St E / Pape Ave - SMART,317,,1940.056782,43.661673,-79.337789
7231,Wright / Sorauren (Sorauren Park) - SMART,255,,1967.847059,43.646677,-79.442741
7238,Sorauren/Geoffrey (Sorauren Park) - SMART,245,,1211.257143,43.649172,-79.4445087
7247,Howard Park Ave / Dundas St W - SMART,238,,1269.886555,43.6521,-79.4486
7084,Stephenson Ave / Main St,212,9.474373053,1150.754717,43.645599,-79.4657123
7277,Chorley Park - SMART,210,,2231.47619,43.6856,-79.3718
7243,Exhibition GO Station,198,,1254.888889,43.6356551,-79.4184785
7265,Wallace Ave / Symington Ave - SMART,198,,1050.474747,43.661324,-79.449534
7244,Dufferin Gate - SMART,155,,1059.464516,43.633473,-79.425679
7229,Dundas St W / Roncesvalles Green P - SMART,118,,1019.033898,43.6534268,-79.4512787
7266,Victoria Park Subway Station - SMART,118,,3837.152542,43.6940155,-79.2889842
7086,Woodbine Subway Green P (Cedarvale Ave),110,8.08089329,1980.936364,43.6525077,-79.4654233
